code,title,dur,market,media,year,category,vo,fileUrl,brand,times_used,first_seen_file,inactive_market
WK-BHAM-0120-05-REV_Motorcycle_30.mpg,REV Motorcycle,30,BRM,TV,2020,Motorcycle,,https://drive.google.com/file/d/1KiEUTq9Vun1TYhC0KERG3L1FR8DzeVKx/view?usp=drive_link,WK,1,June-August 2023 Traffic Instructions.xlsx,
WK-BHAM-0120-07-REV-Motorcycle_10.mpg,REV Motorcycle,10,BRM,TV,2020,Motorcycle,,,WK,2,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0120-11_REV-Distracted_10.mpg,Distracted,10,BRM,TV,2020,Car Wreck,,,WK,2,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0120-12-REV_Distracted_05.mpg,REV Distracted,5,BRM,TV,2020,Car Wreck,,good,WK,4,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0120-12_Distracted_05,WK-BHAM-0120-12_Distracted_05,5,BRM,TV,2020,Car Wreck,,,WK,2,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0320-02-REV_Motorcycle_15b.mpg,REV Motorcycle,BE,BRM,TV,2020,Motorcycle,,https://drive.google.com/file/d/1EZuDxCk3MYRzFQaNwppVnDUdL9Gb4ad1/view?usp=drive_link,WK,1,June-August 2023 Traffic Instructions.xlsx,
WK-BHAM-0620-01_18Wheeler_30.mpg,WK-BHAM-0620-01_18Wheeler_30.mpg,30,BRM,TV,2020,Trucking,,,WK,3,April-May 2023 Traffic Instructions.xlsx,
WK-BHAM-0620-03_18Wheeler_15b.mpg,WK-BHAM-0620-03_18Wheeler_15b.mpg,BE,BRM,TV,2020,Trucking,,https://drive.google.com/file/d/1T_4m-yXBqlDr9SY3q2b-c0SsID2jfddu/view?usp=sharing,WK,3,April-May 2023 Traffic Instructions.xlsx,
WK-BHAM-0620-10_CarCrashImage_30.mpg,WK-BHAM-0620-10_CarCrashImage_30.mpg,30,BRM,TV,2020,Car Wreck,,https://drive.google.com/file/d/1VhBVe8CzTN9-gB7RrwYBNCU8ubt-qFZd/view?usp=drive_link,WK,1,June-August 2023 Traffic Instructions.xlsx,
WK-BHAM-0620-12_CarCrashImage_15B.mpg,WK-BHAM-0620-12_CarCrashImage_15B.mpg,BE,BRM,TV,2020,Car Wreck,,https://drive.google.com/file/d/17pUaRuPeH91vjieyMAsEuc4i_hxKG2HS/view?usp=drive_link,WK,1,June-August 2023 Traffic Instructions.xlsx,
WK-BHAM-0620-16_Puzzle_30.mpg,WK-BHAM-0620-16_Puzzle_30.mpg,30,BRM,TV,2020,Brand,,https://drive.google.com/file/d/1NX00TW2eVatnMLkCCXoWh-TM8CsUOds4/view?usp=drive_link,WK,1,June-August 2023 Traffic Instructions.xlsx,
WK-BHAM-0620-25_Workers_30.mpg,WK-BHAM-0620-25_Workers_30.mpg,30,BRM,TV,2020,Job Injury,,good,WK,5,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0620-26_Workers_15A.mpg,WK-BHAM-0620-26_Workers_15A.mpg,BE,BRM,TV,2020,Job Injury,,good,WK,4,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0620-28_WorkingMan_30.mpg,WK-BHAM-0620-28_WorkingMan_30.mpg,30,BRM,TV,2020,,,https://drive.google.com/file/d/1BPHYqvDiR416qxM1HBByIMbV6qFwcMvl/view?usp=drive_link,WK,4,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0620-29_WorkingMan_15A.mpg,WK-BHAM-0620-29_WorkingMan_15A.mpg,BE,BRM,TV,2020,,,https://drive.google.com/file/d/1wr-fgQJ4jdBW4LvSzre0iTzi6HW8qgq9/view?usp=drive_link,WK,4,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0121-01_18Wheeler_10.mpg,WK-BHAM-0121-01_18Wheeler_10.mpg,10,BRM,TV,2021,Trucking,,good,WK,4,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0121-03_CarCrashImage_10.mpg,WK-BHAM-0121-03_CarCrashImage_10.mpg,10,BRM,TV,2021,Car Wreck,,https://drive.google.com/file/d/1XRLU6BONXO1lHlTb8GqDKZVKTRNKIsfs/view?usp=drive_link,WK,1,June-August 2023 Traffic Instructions.xlsx,
WK-BHAM-0121-04_CarCrashImage_05.mpg,WK-BHAM-0121-04_CarCrashImage_05.mpg,5,BRM,TV,2021,Car Wreck,,https://drive.google.com/file/d/1_-t7idbMQped8-SCcP1XmAbuCGE-OIuE/view?usp=drive_link,WK,1,June-August 2023 Traffic Instructions.xlsx,
WK-BHAM-0121-07_Workers_10.mpg,WK-BHAM-0121-07_Workers_10.mpg,10,BRM,TV,2021,Job Injury,,good,WK,4,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0121-08_Workers_05.mpg,WK-BHAM-0121-08_Workers_05.mpg,5,BRM,TV,2021,Job Injury,,good,WK,4,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0121-11_NameKnow_05,WK-BHAM-0121-11_NameKnow_05,5,BRM,TV,2021,,,,WK,2,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0121-12_Shattered_10.mpg,WK-BHAM-0121-12_Shattered_10.mpg,10,BRM,TV,2021,Brand,,https://drive.google.com/file/d/15h_KmtXxzYYR09hDn1Ed8h_QfkZi1bzI/view?usp=drive_link,WK,1,June-August 2023 Traffic Instructions.xlsx,
WK-BHAM-0121-13_Shattered_05.mpg,WK-BHAM-0121-13_Shattered_05.mpg,5,BRM,TV,2021,Brand,,https://drive.google.com/file/d/1OMNCZlDPqJCAW-Tt3rVfLbJDXrAkrIR0/view?usp=drive_link,WK,1,June-August 2023 Traffic Instructions.xlsx,
WK-BHAM-0421-01_04sec,WK-BHAM-0421-01_04sec,,BRM,TV,2021,,,,WK,2,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0421-01_04sec.mpg,WK-BHAM-0421-01_04sec.mpg,4,BRM,TV,2021,,,good,WK,5,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0622-01_Commercial-Accident-30.mpg,Accident,30,BRM,TV,2022,,,good,WK,2,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0622-02_Commercial-Accident-15A.mpg,Accident,BE,BRM,TV,2022,,,good,WK,2,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0622-03_Commercial-Accident-15B.mpg,Accident,BE,BRM,TV,2022,,,https://drive.google.com/file/d/1KFJ2l3Z-cPELP-P7thZQQ_yDzSOqg0Ff/view?usp=drive_link,WK,6,Christmas Spot December 2023 Traffic Instructions.xlsx,
WK-BHAM-0622-04_Distracted-Cell-Phones-30,Cell Phones,30,BRM,TV,2022,,,https://drive.google.com/file/d/1YQti_W1b6uAfFzZBO_-KX_cZKl8HezKE/view?usp=drive_link,WK,10,Christmas Spot December 2023 Traffic Instructions.xlsx,
WK-BHAM-0622-04_Distracted-Cell-Phones-30.mpg,Cell Phones,30,BRM,TV,2022,,,good,WK,7,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0622-05_Distracted-Cell-Phones-15A.mpg,Cell Phones,BE,BRM,TV,2022,,,https://drive.google.com/file/d/1CkH4DjZIBUTeiZGIso14Pk2sH3CzhgIn/view?usp=drive_link,WK,6,Christmas Spot December 2023 Traffic Instructions.xlsx,
WK-BHAM-0622-06_Distracted-Cell-Phones-15B.mpg,Cell Phones,BE,BRM,TV,2022,,,good,WK,6,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0622-10_Mothers-Wreck-30.mpg,Wreck,30,BRM,TV,2022,Car Wreck,,,WK,3,April-May 2023 Traffic Instructions.xlsx,
WK-BHAM-0622-10_Mothers-Wreck_30.mpg,Wreck,30,BRM,TV,2022,Car Wreck,,,WK,2,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0622-11_Mothers-Wreck-15.mpg,Wreck,BE,BRM,TV,2022,Car Wreck,,https://drive.google.com/file/d/1KdorUZMuQJombThyYlK7WF9YeVJCNPVp/view?usp=drive_link,WK,10,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0622-12_Parents 30.mpg,WK-BHAM-0622-12_Parents 30.mpg,30,BRM,TV,2022,,,good,WK,6,August-October 2022 Traffic Instructions.xlsx,
WK-BHAM-0622-13_Parents 15.mpg,WK-BHAM-0622-13_Parents 15.mpg,BE,BRM,TV,2022,,,good,WK,5,August-October 2022 Traffic Instructions.xlsx,
