brand,market,media,month,year,est,flight,version,buyer,iscis,stations,comments,source_file,asset_count,is_revised,is_seasonal,inactive_market,conflict
WK,BRM,TV,August,2022,,08/03/22 - 10/02/22 | 1/30/2023 - 3/31/2023,,,WK-BHAM-0120-07-REV-Motorcycle_10.mpg; WK-BHAM-0120-11_REV-Distracted_10.mpg; WK-BHAM-0120-12-REV_Distracted_05.mpg; WK-BHAM-0120-12_Distracted_05; WK-BHAM-0121-01_18Wheeler_10.mpg; WK-BHAM-0121-07_Workers_10.mpg; WK-BHAM-0121-08_Workers_05.mpg; WK-BHAM-0121-11_NameKnow_05; WK-BHAM-0421-01_04sec; WK-BHAM-0421-01_04sec.mpg; WK-BHAM-0620-25_Workers_30.mpg; WK-BHAM-0620-26_Workers_15A.mpg; WK-BHAM-0620-28_WorkingMan_30.mpg; WK-BHAM-0620-29_WorkingMan_15A.mpg; WK-BHAM-0622-01_Commercial-Accident-30.mpg; WK-BHAM-0622-02_Commercial-Accident-15A.mpg; WK-BHAM-0622-04_Distracted-Cell-Phones-30.mpg; WK-BHAM-0622-06_Distracted-Cell-Phones-15B.mpg; WK-BHAM-0622-10_Mothers-Wreck_30.mpg; WK-BHAM-0622-11_Mothers-Wreck-15.mpg; WK-BHAM-0622-12_Parents 30.mpg; WK-BHAM-0622-13_Parents 15.mpg; WK-BHAM-0622-17_Different_15B.mpg; WK-BHAM-0622-18_PremiseInjury_30.mpg; WK-BHAM-0622-21R_Things to Do Accident 30 (2).mpg; WK-BHAM-0622-21_ThingstoDoAccident_30.mpg; WK-BHAM-0622-22R_Things to Do Accident 15A.mpg; WK-BHAM-0622-22_ThingtoDoAccident_15a.mpg; WK-BHAM-0622–15_Different_30.mpg; WK-BHAM-0622–19_PremiseInjury_15a.mpg; WK-BHAM-0722-01_MoreThanSize_30.mpg; WK-BHAM-0722-02_MoreThanSize_15.mpg; WK-BHAM-0722-05_Options_30.mpg; WK-BHAM-0722-06_Options_15.mpg,,Source: August-October 2022 Traffic Instructions.xlsx,August-October 2022 Traffic Instructions.xlsx,34,,,,
WK,HSV,TV,August,2022,,08/03/22 - 10/02/22 | 1/30/2023 - 3/31/2023,,,WK-HUNT-0120-07-REV-Motorcycle_10.mpg; WK-HUNT-0120-11_REV-Distracted_10.mpg; WK-HUNT-0120-12-REV_Distracted_05.mpg; WK-HUNT-0120-12_Distracted_05; WK-HUNT-0121-01_18Wheeler_10.mpg; WK-HUNT-0121-07_Workers_10.mpg; WK-HUNT-0121-08_Workers_05.mpg; WK-HUNT-0121-11_NameKnow_05; WK-HUNT-0123-01_Commercial-Accident-30.mpg; WK-HUNT-0123-02_Commercial-Accident-15A.mpg; WK-HUNT-0421-01_04sec; WK-HUNT-0421-01_04sec.mpg; WK-HUNT-0620-25_Workers_30.mpg; WK-HUNT-0620-26_Workers_15A.mpg; WK-HUNT-0620-28_WorkingMan_30.mpg; WK-HUNT-0620-29_WorkingMan_15A.mpg; WK-HUNT-0622-04_Distracted-Cell-Phones-30.mpg; WK-HUNT-0622-06_Distracted-Cell-Phones-15B.mpg; WK-HUNT-0622-10_Mothers-Wreck_30.mpg; WK-HUNT-0622-11_Mothers-Wreck-15.mpg; WK-HUNT-0622-12_Parents 30.mpg; WK-HUNT-0622-13_Parents 15.mpg; WK-HUNT-0622-15_Different 30.mpg; WK-HUNT-0622-16_Different 15A.mpg; WK-HUNT-0622-17_Different_15B.mpg; WK-HUNT-0622-18_PremiseInjury_30.mpg; WK-HUNT-0622-21R_Things to Do Accident 30.mpg; WK-HUNT-0622-21R_ThingstoDoAccident_30.mpg; WK-HUNT-0622-22R_Things to Do Accident 15A.mpg; WK-HUNT-0622-22R_ThingtoDoAccident_15a.mpg; WK-HUNT-0622–15_Different_30.mpg; WK-HUNT-0622–19_PremiseInjury_15a.mpg; WK-HUNT-0722-01_More Than Size 30.mpg; WK-HUNT-0722-02_More Than Size 15.mpg; WK-HUNT-0722-02_MoreThanSize_15.mpg; WK-HUNT-0722-05_Options 30.mpg; WK-HUNT-0722-05_Options_30.mpg; WK-HUNT-0722-06_Options 15.mpg; WK-HUNT-0722-06_Options_15.mpg; Wk-HUNT-0722-01_MoreThanSize_30.mpg,,Source: August-October 2022 Traffic Instructions.xlsx,August-October 2022 Traffic Instructions.xlsx,40,,,,
WK,MTG,TV,August,2022,,08/03/22 - 10/02/22 | 1/30/2023 - 3/31/2023,,,WK-MONT -0421-01_04sec; WK-MONT-0120-07-REV-Motorcycle_10.mpg; WK-MONT-0120-11_REV-Distracted_10.mpg; WK-MONT-0120-12-REV_Distracted_05.mpg; WK-MONT-0120-12_Distracted_05; WK-MONT-0121-01_18Wheeler_10.mpg; WK-MONT-0121-07_Workers_10.mpg; WK-MONT-0121-08_Workers_05.mpg; WK-MONT-0121-11_NameKnow_05; WK-MONT-0421-01_04sec.mpg; WK-MONT-0620-25_Workers_30.mpg; WK-MONT-0620-26_Workers_15A.mpg; WK-MONT-0620-28_WorkingMan_30.mpg; WK-MONT-0620-29_WorkingMan_15A.mpg; WK-MONT-0622-01_Commercial-Accident-30.mpg; WK-MONT-0622-02_Commercial-Accident-15A.mpg; WK-MONT-0622-04_Distracted-Cell-Phones-30.mpg; WK-MONT-0622-06_Distracted-Cell-Phones-15B.mpg; WK-MONT-0622-10_Mothers-Wreck_30.mpg; WK-MONT-0622-11_Mothers-Wreck-15.mpg; WK-MONT-0622-12_Parents 30.mpg; WK-MONT-0622-13_Parents 15.mpg; WK-MONT-0622-15_Different 30.mpg; WK-MONT-0622-16_Different 15A.mpg; WK-MONT-0622-17_Different_15B.mpg; WK-MONT-0622-18_PremiseInjury_30.mpg; WK-MONT-0622-21R_Things to Do Accident 30.mpg; WK-MONT-0622-21R_ThingstoDoAccident_30.mpg; WK-MONT-0622-22R_Things to Do Accident 15A.mpg; WK-MONT-0622-22R_ThingtoDoAccident_15a.mpg; WK-MONT-0622–15_Different_30.mpg; WK-MONT-0622–19_PremiseInjury_15a.mpg; WK-MONT-0722-01_More Than Size 30.mpg; WK-MONT-0722-01_MoreThanSize_30.mpg; WK-MONT-0722-02_More Than Size 15.mpg; WK-MONT-0722-02_MoreThanSize_15.mpg; WK-MONT-0722-05_Options 30.mpg; WK-MONT-0722-06_Options 15.mpg; WK-MONT-0722-06_Options_15.mpg; WK_MONT-0722-05_Options_30.mpg,,Source: August-October 2022 Traffic Instructions.xlsx,August-October 2022 Traffic Instructions.xlsx,40,,,,
WK,CHA,TV,August,2022,,08/03/22 - 10/02/22 | 1/30/2023 - 3/31/2023,,,WK-CHAT -0421-01_04sec; WK-CHAT-0120-07-REV-Motorcycle_10.mpg; WK-CHAT-0120-11_REV-Distracted_10.mpg; WK-CHAT-0120-12-REV_Distracted_05.mpg; WK-CHAT-0120-12_Distracted_05; WK-CHAT-0121-01_18Wheeler_10.mpg; WK-CHAT-0121-07_Workers_10.mpg; WK-CHAT-0121-08_Workers_05.mpg; WK-CHAT-0121-11_NameKnow_05; WK-CHAT-0421-01_04sec.mpg; WK-CHAT-0620-25_Workers_30.mpg; WK-CHAT-0620-26_Workers_15A.mpg; WK-CHAT-0620-28_WorkingMan_30.mpg; WK-CHAT-0620-29_WorkingMan_15A.mpg; WK-CHAT-0622-01_Commercial-Accident-30.mpg; WK-CHAT-0622-02_Commercial-Accident-15A.mpg; WK-CHAT-0622-04_Distracted-Cell-Phones-30.mpg; WK-CHAT-0622-06_Distracted-Cell-Phones-15B.mpg; WK-CHAT-0622-07_Headlines-18-Wheeler_30.mpg; WK-CHAT-0622-09-Headlines-18-Wheeler _15B.mpg; WK-CHAT-0622-10_Mothers-Wreck_30.mpg; WK-CHAT-0622-11_Mothers-Wreck-15.mpg; WK-CHAT-0622-12_Parents 30.mpg; WK-CHAT-0622-13_Parents 15.mpg; WK-CHAT-0622-15_Different 30.mpg; WK-CHAT-0622-16_Different 15A.mpg; WK-CHAT-0622-18_PremiseInjury_30.mpg; WK-CHAT-0622-21R_Things to Do Accident 30.mpg; WK-CHAT-0622-21R_ThingstoDoAccident_30.mpg; WK-CHAT-0622-22R_Things to Do Accident 15A.mpg; WK-CHAT-0622-22R_ThingtoDoAccident_15a.mpg; WK-CHAT-0622–15_Different_30.mpg; WK-CHAT-0622–19_PremiseInjury_15a.mpg; WK-CHAT-0722-01_More Than Size 30.mpg; WK-CHAT-0722-01_MoreThanSize_30.mpg; WK-CHAT-0722-02_More Than Size 15.mpg; WK-CHAT-0722-02_MoreThanSize_15.mpg; WK-CHAT-0722-05_Options 30.mpg; WK-CHAT-0722-05_Options_30.mpg; WK-CHAT-0722-06_Options 15.mpg; WK-CHAT-0722-06_Options_15.mpg,,Source: August-October 2022 Traffic Instructions.xlsx,August-October 2022 Traffic Instructions.xlsx,41,,,,
WK,KNX,TV,August,2022,,08/03/22 - 10/02/22 | 1/30/2023 - 3/31/2023,,,WK-KNOX -0421-01_04sec; WK-KNOX-0120-07 -Motorcycle_10.mpg; WK-KNOX-0121-01_18Wheeler_10.mpg; WK-KNOX-0121-07_Workers_10.mpg; WK-KNOX-0121-08_Workers_05.mpg; WK-KNOX-0121-11_NameKnow_05; WK-KNOX-0421-01_04sec.mpg; WK-KNOX-0620-12_ Distracted_10.mpg; WK-KNOX-0620-13_Distracted_05; WK-KNOX-0620-13_Distracted_05.mpg; WK-KNOX-0620-31_Workers_30.mpg; WK-KNOX-0620-32_Workers_15A.mpg; WK-KNOX-0620-34_WorkingMan_30.mpg; WK-KNOX-0620-35_WorkingMan_15A.mpg; WK-KNOX-0622-01_Commercial-Accident-30.mpg; WK-KNOX-0622-02_Commercial-Accident-15A.mpg; WK-KNOX-0622-04_Distracted-Cell-Phones-30.mpg; WK-KNOX-0622-06_Distracted-Cell-Phones-15B.mpg; WK-KNOX-0622-07_Headlines-18-Wheeler_30.mpg; WK-KNOX-0622-09-Headlines-18-Wheeler _15B.mpg; WK-KNOX-0622-10_Mothers-Wreck_30.mpg; WK-KNOX-0622-11_Mothers-Wreck-15.mpg; WK-KNOX-0622-12_Parents 30.mpg; WK-KNOX-0622-13_Parents 15.mpg; WK-KNOX-0622-15_Different 30.mpg; WK-KNOX-0622-16_Different 15A.mpg; WK-KNOX-0622-18_PremiseInjury_30.mpg; WK-KNOX-0622-21R_Things to Do Accident 30.mpg; WK-KNOX-0622-21R_ThingstoDoAccident_30.mpg; WK-KNOX-0622-22R_Things to Do Accident 15A.mpg; WK-KNOX-0622-22R_ThingtoDoAccident_15A.mpg; WK-KNOX-0622–15_Different_30.mpg; WK-KNOX-0622–19_PremiseInjury_15a.mpg; WK-KNOX-0722-01_More Than Size 30.mpg; WK-KNOX-0722-01_MoreThanSize_30mpg; WK-KNOX-0722-02_More Than Size 15.mpg; WK-KNOX-0722-02_MoreThanSize_15.mpg; WK-KNOX-0722-05_Options 30.mpg; WK-KNOX-0722-05_Options_30.mpg; WK-KNOX-0722-06_Options 15.mpg; WK-KNOX-0722-06_Options_15.mpg,,Source: August-October 2022 Traffic Instructions.xlsx,August-October 2022 Traffic Instructions.xlsx,41,,,,
WK,PAN,TV,August,2022,,08/03/22 - 10/02/22 | 1/30/2023 - 3/31/2023,,,WK-PANA-0522-01_WorkingMan_30.mpg; WK-PANA-0522-02_WorkingMan_15A.mpg; WK-PANA-0522-19_CarCrashImage_30; WK-PANA-0522-19_CarCrashImage_30.mpg; WK-PANA-0522-20_CarCrashImage_15A; WK-PANA-0522-20_CarCrashImage_15A.mpg; WK-PANA-0522-22_Team_30; WK-PANA-0522-23_Team_15a; WK-PANA-0622-04_DistractedCellPhones_30; WK-PANA-0622-05_DistractedCellPhones_15a; WK-PANA-0622-06_DistractedCellPhones_15b; WK-PANA-0622-07_Headlines 18 Wheelers.mpg; WK-PANA-0622-07_Headlines-18-Wheelers-30.mpg; WK-PANA-0622-08_Headlines-18-Wheelers-15A.mpg; WK-PANA-0622-09_Headlines-18-Wheelers-15B.mpg; WK-PANA-0622-10_Mothers Wreck.mpg; WK-PANA-0622-11_Mothers-Wreck-15.mpg; WK-PANA-0622-12_Parents 30.mpg; WK-PANA-0622-13_Home PC 30; WK-PANA-0622-13_Parents 15.mpg; WK-PANA-0622-14_HomePC15a; WK-PANA-0622-15_HomePC15b; WK-PANA-0622-18_Premise Injury 30.mpg; WK-PANA-0622-22R_Things to Do Accident 15A.mpg,,Panama City (inactive market). Source: August-October 2022 Traffic Instructions.xlsx,August-October 2022 Traffic Instructions.xlsx,24,,,Y,
WK,BRM,TV,April,2023,,4/1/2023-5/31/2023,,,WK-BHAM-0120-12-REV_Distracted_05.mpg; WK-BHAM-0121-01_18Wheeler_10.mpg; WK-BHAM-0121-07_Workers_10.mpg; WK-BHAM-0121-08_Workers_05.mpg; WK-BHAM-0421-01_04sec.mpg; WK-BHAM-0620-01_18Wheeler_30.mpg; WK-BHAM-0620-03_18Wheeler_15b.mpg; WK-BHAM-0620-25_Workers_30.mpg; WK-BHAM-0620-26_Workers_15A.mpg; WK-BHAM-0622-04_Distracted-Cell-Phones-30.mpg; WK-BHAM-0622-06_Distracted-Cell-Phones-15B.mpg; WK-BHAM-0622-10_Mothers-Wreck-30.mpg; WK-BHAM-0622-11_Mothers-Wreck-15.mpg; WK-BHAM-0622-12_Parents 30.mpg; WK-BHAM-0622-13_Parents 15.mpg; WK-BHAM-0622-21R_Things to Do Accident 30 (2).mpg; WK-BHAM-0622-22R_Things to Do Accident 15A.mpg; WK-BHAM-0722-01_MoreThanSize_30.mpg; WK-BHAM-0722-02_MoreThanSize_15.mpg; WK-BHAM-0722-05_Options_30.mpg; WK-BHAM-0722-06_Options_15.mpg,,Source: April-May 2023 Traffic Instructions.xlsx,April-May 2023 Traffic Instructions.xlsx,21,,,,
WK,HSV,TV,April,2023,,4/1/2023-5/31/2023,,,WK-HUNT-0120-12-REV_Distracted_05.mpg; WK-HUNT-0121-01_18Wheeler_10.mpg; WK-HUNT-0121-07_Workers_10.mpg; WK-HUNT-0121-08_Workers_05.mpg; WK-HUNT-0421-01_04sec.mpg; WK-HUNT-0620-01_18Wheeler_30.mpg; WK-HUNT-0620-02_18Wheeler_15a.mpg; WK-HUNT-0620-25_Workers_30.mpg; WK-HUNT-0620-26_Workers_15A.mpg; WK-HUNT-0622-04_Distracted-Cell-Phones-30.mpg; WK-HUNT-0622-06_Distracted-Cell-Phones-15B.mpg; WK-HUNT-0622-10_Mothers-Wreck-30.mpg; WK-HUNT-0622-11_Mothers-Wreck-15.mpg; WK-HUNT-0622-12_Parents 30.mpg; WK-HUNT-0622-13_Parents 15.mpg; WK-HUNT-0622-21R_Things to Do Accident 30.mpg; WK-HUNT-0622-22R_Things to Do Accident 15A.mpg; WK-HUNT-0722-01_More Than Size 30.mpg; WK-HUNT-0722-02_More Than Size 15.mpg; WK-HUNT-0722-05_Options 30.mpg; WK-HUNT-0722-06_Options 15.mpg,,Source: April-May 2023 Traffic Instructions.xlsx,April-May 2023 Traffic Instructions.xlsx,21,,,,
WK,MTG,TV,April,2023,,4/1/2023-5/31/2023,,,WK-MONT-0120-12-REV_Distracted_05.mpg; WK-MONT-0121-01_18Wheeler_10.mpg; WK-MONT-0121-07_Workers_10.mpg; WK-MONT-0121-08_Workers_05.mpg; WK-MONT-0421-01_04sec.mpg; WK-MONT-0620-01_18Wheeler_30.mpg; WK-MONT-0620-02_18Wheeler_15a.mpg; WK-MONT-0620-25_Workers_30.mpg; WK-MONT-0620-26_Workers_15A.mpg; WK-MONT-0622-04_Distracted-Cell-Phones-30.mpg; WK-MONT-0622-06_Distracted-Cell-Phones-15B.mpg; WK-MONT-0622-10_Mothers-Wreck-30.mpg; WK-MONT-0622-11_Mothers-Wreck-15.mpg; WK-MONT-0622-12_Parents 30.mpg; WK-MONT-0622-13_Parents 15.mpg; WK-MONT-0622-21R_Things to Do Accident 30.mpg; WK-MONT-0622-22R_Things to Do Accident 15A.mpg; WK-MONT-0722-01_More Than Size 30.mpg; WK-MONT-0722-02_More Than Size 15.mpg; WK-MONT-0722-05_Options 30.mpg; WK-MONT-0722-06_Options 15.mpg,,Source: April-May 2023 Traffic Instructions.xlsx,April-May 2023 Traffic Instructions.xlsx,21,,,,
WK,CHA,TV,April,2023,,4/1/2023-5/31/2023,,,WK-CHAT-0120-12-REV_Distracted_05.mpg; WK-CHAT-0121-01_18Wheeler_10.mpg; WK-CHAT-0121-07_Workers_10.mpg; WK-CHAT-0121-08_Workers_05.mpg; WK-CHAT-0421-01_04sec.mpg; WK-CHAT-0620-01_18Wheeler_30.mpg; WK-CHAT-0620-03_18Wheeler_15b.mpg; WK-CHAT-0620-25_Workers_30.mpg; WK-CHAT-0620-26_Workers_15A.mpg; WK-CHAT-0622-04_Distracted-Cell-Phones-30.mpg; WK-CHAT-0622-06_Distracted-Cell-Phones-15B.mpg; WK-CHAT-0622-10_Mothers-Wreck-30.mpg; WK-CHAT-0622-11_Mothers-Wreck-15.mpg; WK-CHAT-0622-12_Parents 30.mpg; WK-CHAT-0622-13_Parents 15.mpg; WK-CHAT-0622-21R_Things to Do Accident 30.mpg; WK-CHAT-0622-22R_Things to Do Accident 15A.mpg; WK-CHAT-0722-01_More Than Size 30.mpg; WK-CHAT-0722-02_More Than Size 15.mpg; WK-CHAT-0722-05_Options 30.mpg; WK-CHAT-0722-06_Options 15.mpg,,Source: April-May 2023 Traffic Instructions.xlsx,April-May 2023 Traffic Instructions.xlsx,21,,,,
