ISCI Code,Title,Media,Market(DMA),Length,Category,Value Prop,Drive Link
LRAL35122,Help Ayudame Los Reyes Radio NM [SP],Radio,ABQ,30,Auto Accidents,,https://drive.google.com/file/d/1zp_1M2p6NubuiYNo7nttwY_YOeBx91bi/view?usp=sharing
LRAL35132,Los Reyes Seguro ALB [SP],Radio,ABQ,30,Auto Accidents,,https://drive.google.com/file/d/183T50LW44MXWhbbLXtPMfsZJiXjUFP9W/view?usp=sharing
LRAL35348,ESP Sin Estres 1 ALB [SP],Radio,ABQ,30,Auto Accidents,,https://drive.google.com/file/d/1vOvP_cBgCEUshGJxXFyynyWzKoJaFaWZ/view?usp=sharing
LRAL35349,ESP Sin Estres 2 ALB [SP],Radio,ABQ,30,Auto Accidents,,https://drive.google.com/file/d/1KQIJ4qxZBaupO5r660-jg13Yq08NXYgJ/view?usp=sharing
LRAL35037,HELP 30 ALB [SP],TV,ABQ,30,Auto Accidents,,https://drive.google.com/file/d/1jyYfWM4QMNSvamGYTIeQuc82zO-WhYol/view?usp=sharing
LRAL35038,One Call 30 ALB [SP],TV,ABQ,30,Results,Results,https://drive.google.com/file/d/1VyhC7A6Hg-P2TXdjKsOQEuQbxT-WUSTg/view?usp=sharing
LRAL35039,Wreck Life 30 ALB [SP],TV,ABQ,30,Auto Accidents,Aggressive,https://drive.google.com/file/d/1q99-I5dgWvmhoju3UtjQjknUvbX0G_s5/view?usp=sharing
LRAL35049,505 30 ALB [SP],TV,ABQ,30,Results,Results,https://drive.google.com/file/d/18ZafMB2EgAs57zQJ0sJBVwtYxrXfn9lx/view?usp=sharing
LRAL35082,Service Alb 30 REV Radio [SP],TV,ABQ,30,Auto Accidents,,https://drive.google.com/file/d/1-vB5cNcJY2Jc68ZkeSxfi3EIEwVptG1d/view?usp=sharing
LRAL35138,Rear End ALB [SP],TV,ABQ,30,Auto Accidents,,https://drive.google.com/file/d/1j8II554oq4MBV1G7AuveBKvTGzGu-ZOp/view?usp=sharing
LRAL35151,MAKE THEM PAY ALB [SP],TV,ABQ,30,Results,Results,https://drive.google.com/file/d/1m9Fyf0OIUv4U1-5TyCIMtFgy4lEkdQgz/view?usp=sharing
LRAL35159,Help REV25 [SP],TV,ABQ,15,Auto Accidents,,https://drive.google.com/file/d/1PV-rnYKYnWp_j9xFbuFsnn7ofls1cCYn/view?usp=sharing
LRAL36200,Big Rigs26 ALB NL,TV,ABQ,15,Trucking,Big Cases,https://drive.google.com/file/d/1w5ErHTkEx90WLPL8WquZFHu1_rtW0_ah/view?usp=sharing
LRAL36201,Check List26 ALB NL,TV,ABQ,15,Results,,https://drive.google.com/file/d/1HKF3CBk3MpVgf84mYusmCmbmvAPaqR11/view?usp=sharing
LRAL36202,Get LNR26 ALB NL,TV,ABQ,15,Auto Accidents,,https://drive.google.com/file/d/12qanOwKD-Klw-hJ-2-ZXG5ayh0lv-H8J/view?usp=sharing
LRAL36203,If Your Wreck26 ALB NL,TV,ABQ,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/1xap9Ayebzxy8N1tH7NGCp10GC6f49trH/view?usp=sharing
LRAL36204,Ins Stop26 ALB NL,TV,ABQ,15,Auto Accidents,,https://drive.google.com/file/d/1m3Xt4KiCKePdqYNmSAOHxpmcqYPAAwce/view?usp=sharing
LRAL36205,Wreck Check 26 ALB NL,TV,ABQ,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/1fVvxbEIp6rM6fa4APv9cD7QqX3tbI4Ju/view?usp=sharing
LRAL36206,Legal Genie 26 ALB NL,TV,ABQ,15,Brand,Experience,https://drive.google.com/file/d/1G37MUBSe1LlY4ehJG2LKpf5WJl9xT8ts/view?usp=sharing
LRAL36207,Done it again26 ALB NL,TV,ABQ,15,Auto Accidents,,https://drive.google.com/file/d/1f4Av_RUlAXc3se3F50rPm9bJIjqH2jcI/view?usp=sharing
LRAL36208,Accidents Happen Fast26 ALB NL,TV,ABQ,15,Auto Accidents,,https://drive.google.com/file/d/1Lo9_eydOw-QTeFbFUAs6UzGUnljKXsFH/view?usp=sharing
LRAL36209,Overnight26 ALB NL,TV,ABQ,15,Auto Accidents,,https://drive.google.com/file/d/1gOAUZEa3KtGk74lGdDc-v_Q-UnS70900/view?usp=sharing
LRAL36210,Weekend26 ALB NL,TV,ABQ,15,Auto Accidents,,https://drive.google.com/file/d/1TTNtoQaN4ROuxmu6Ye0MswccJ40MEvfh/view?usp=sharing
LRCH35023,CHI2 LAW 30,Radio,CHI,30,Brand,,https://drive.google.com/file/d/1RoQEGWfXenystFnARApNbO_6KYQyaiEM/view?usp=sharing
LRCH35083,Service CHI 30 Radio,Radio,CHI,30,Auto Accidents,,https://drive.google.com/file/d/1zHAmIYEFatKB-1vmFwmgH2neelepEuoX/view?usp=sharing
LRCH35141,Rear End CHI,Radio,CHI,30,Auto Accidents,,https://drive.google.com/file/d/1jeWY56ZoZxSyOl2s3YIOUvzaCRV3f9B9/view?usp=sharing
LRCH35154,MAKE THEM PAY CHI,Radio,CHI,30,Results,Results,https://drive.google.com/file/d/1Yn2_tblgncRcYNtIdNbv8CItVUhqEMf0/view?usp=sharing
LRCH31375,CHI_0523,TV,CHI,05,Auto Accidents,,https://drive.google.com/file/d/1pg6V5U2QWdczEDDUp2GeOgCJ4h93p81U/view
LRCH34017,Big Rigs23,TV,CHI,15,Trucking,Big Cases,https://drive.google.com/file/d/1fXKk5yuTeQEfkkJlK1AOAAr7OqKRrgid/view
LRCH34018,Big Rigs23_BLK,TV,CHI,15,Trucking,Big Cases,https://drive.google.com/file/d/1YekAwYqKBT2IkibyqnsRsKbP0wFCsch9/view
