ISCI Code,Title,Media,Brand,DMA,Duration,Suffix
ABQLR2630001R,Service_30,Radio,Lerner & Rowe,ABQ,30,R
ABQLR2630002R,505_30,Radio,Lerner & Rowe,ABQ,30,R
ABQLR2630003R,Help_30,Radio,Lerner & Rowe,ABQ,30,R
ABQLR2630004R,Wreck Life_30,Radio,Lerner & Rowe,ABQ,30,R
ABQLR2630005R,One Call_30,Radio,Lerner & Rowe,ABQ,30,R
ABQLR2630006R,Rear End_30,Radio,Lerner & Rowe,ABQ,30,R
ABQLR2630007R,Make Them Pay_30,Radio,Lerner & Rowe,ABQ,30,R
PHXLR2630001R,PHX Tuc Law_30,Radio,Lerner & Rowe,PHX,30,R
PHXLR2630002R,Best_30,Radio,Lerner & Rowe,PHX,30,R
PHXLR2630003R,Rear End_30,Radio,Lerner & Rowe,PHX,30,R
PHXLR2630004R,Make Them Pay_30,Radio,Lerner & Rowe,PHX,30,R
TUCLR2630001R,PHX Tuc Law_30,Radio,Lerner & Rowe,TUC,30,R
TUCLR2630002R,Best_30,Radio,Lerner & Rowe,TUC,30,R
TUCLR2630003R,Rear End_30,Radio,Lerner & Rowe,TUC,30,R
TUCLR2630004R,Make Them Pay_30,Radio,Lerner & Rowe,TUC,30,R
RNOLR2630001R,No Results_30,Radio,Lerner & Rowe,RNO,30,R
RNOLR2630002R,Results 523_30,Radio,Lerner & Rowe,RNO,30,R
RNOLR2630003R,The Process 523_30,Radio,Lerner & Rowe,RNO,30,R
RNOLR2630004R,They Know Who We Are_30,Radio,Lerner & Rowe,RNO,30,R
RNOLR2630005R,What It Means_30,Radio,Lerner & Rowe,RNO,30,R
RNOLR2630006R,Electric Vehicle_30,Radio,Lerner & Rowe,RNO,30,R
