Frame.io File,Spot #,Code,Concept,Length,ISCI Title,OKC ISCI,TUL ISCI
View PDV 1099 AA Before and After.mp4,1099,AA,Before and After,30,Before and After_30,OKCPDV2630001T,TULPDV2630001T
View PDV 1101 AA NFG Do You Know.mp4,1101,AA,NFG Do You Know,30,NFG Do You Know_30,OKCPDV2630002T,TULPDV2630002T
View PDV 1102 AA Ask This.mp4,1102,AA,Ask This,30,Ask This_30,OKCPDV2630003T,TULPDV2630003T
View PDV 1107 AA Before and After 10.mp4,1107,AA,Before and After,10,Before and After_10,OKCPDV2610001T,TULPDV2610001T
View PDV 1108 AA NFG Do You Know 10.mp4,1108,AA,NFG Do You Know,10,NFG Do You Know_10,OKCPDV2610002T,TULPDV2610002T
View PDV 1110 AA What If Money (R).mp4,1110,AA,What If Money (R),30,What If Money (R)_30,OKCPDV2630004T,TULPDV2630004T
View PDV 1111 AA NFG Tell Everybody (R).mp4,1111,AA,NFG Tell Everybody (R),30,NFG Tell Everybody (R)_30,OKCPDV2630005T,TULPDV2630005T
View PDV 1112 AA NFG Tell Everybody 10 (R).mp4,1112,AA,NFG Tell Everybody (R),10,NFG Tell Everybody (R)_10,OKCPDV2610003T,TULPDV2610003T
View PDV 1113 AA NFG Not Payin' (R).mp4,1113,AA,NFG Not Payin' (R),30,NFG Not Payin' (R)_30,OKCPDV2630006T,TULPDV2630006T
View PDV 1114 AA NFG Fast Response (R).mp4,1114,AA,NFG Fast Response (R),30,NFG Fast Response (R)_30,OKCPDV2630007T,TULPDV2630007T
View PDV 1115 AA Peace NFG (R).mp4,1115,AA,Peace NFG (R),30,Peace NFG (R)_30,OKCPDV2630008T,TULPDV2630008T
View PDV 1116 AA Easy To Remember (R).mp4,1116,AA,Easy To Remember (R),30,Easy To Remember (R)_30,OKCPDV2630009T,TULPDV2630009T
View PDV 1117 AA Easy To Remember 10 (R).mp4,1117,AA,Easy To Remember (R),10,Easy To Remember (R)_10,OKCPDV2610004T,TULPDV2610004T
View PDV 1118 AA 4 Repeater (R).mp4,1118,AA,4 Repeater (R),30,4 Repeater (R)_30,OKCPDV2630010T,TULPDV2630010T
